size_sqft,bedrooms,floors,age,price_1000s
2028,3,2,29,449.4
2596,2,2,33,459.22
1720,2,1,1,448.85
1838,2,1,56,327.82
1723,3,1,26,349.09
1724,2,1,12,413.95
1927,3,1,28,389.74
2212,5,1,83,355.91
1711,3,2,8,451.87
1568,1,1,41,293.04
2841,5,2,23,523.76
1927,2,2,46,331.53
2029,4,2,56,369.22
2252,4,1,14,460.76
2554,2,1,18,491.09
1695,4,2,14,429.17
2667,3,2,4,613.85
1266,3,2,9,371.28
1864,2,2,24,391.47
3506,3,1,21,612.52
1397,3,1,34,323.54
2759,1,2,22,458.38
2710,3,2,5,635.8
956,2,2,13,297.13
2831,5,1,19,555.67
1067,3,1,34,267.09
2715,4,1,2,652.98
1418,3,1,15,379.21
2299,1,1,17,424.3
2672,2,2,4,601.95
2379,3,1,7,552.64
1433,3,1,27,346.81
1306,2,1,9,371.44
2067,2,1,35,379.53
646,1,2,50,171.93
2397,3,2,20,499.42
1867,2,1,15,424.58
2506,3,2,100,402.16
2287,5,1,41,420.11
2463,3,1,26,421.23
1141,2,1,8,329.0
2502,2,1,0,588.88
2147,3,1,17,450.16
1621,2,1,51,302.53
1523,5,1,6,440.8
987,2,2,55,225.3
2960,5,2,3,702.45
2453,3,1,4,572.07
3093,3,2,30,526.52
1854,5,3,8,518.9
528,5,1,7,282.33
2744,1,2,32,460.02
963,3,2,24,264.67
2010,3,1,35,365.3
2623,3,3,77,409.13
2958,3,2,11,581.1
2951,2,1,58,449.5
1839,2,1,23,372.48
2030,5,1,49,378.29
3466,5,3,6,754.55
2174,3,2,1,554.61
1360,3,1,0,433.75
3171,2,2,37,513.89
1645,3,2,11,446.5
2214,4,1,23,450.3
1949,3,3,32,381.63
2480,4,2,44,437.17
1859,4,1,10,453.5
3123,2,1,15,598.99
1595,5,2,33,378.46
2570,2,1,4,546.78
2102,4,1,26,471.49
2202,3,2,8,532.39
643,2,3,49,216.51
2002,4,2,40,421.39
1712,1,1,49,310.51
1699,5,2,23,423.1
1643,3,2,3,466.65
1190,4,2,1,409.78
2882,5,2,9,654.3
1079,3,1,100,263.93
2557,4,2,0,642.27
1574,1,2,61,280.39
1876,3,1,57,326.19
1676,5,1,26,385.64
1665,1,2,22,337.07
1028,3,1,13,324.43
1675,2,1,23,344.25
1622,4,2,4,493.27
2024,5,2,24,419.68
1801,2,3,11,464.25
2668,4,1,10,550.72
1423,3,1,15,393.58
1559,4,2,8,465.57
2313,3,1,8,517.11
2704,2,2,47,451.76
1672,1,1,5,407.64
2408,4,1,3,583.08
740,2,3,10,333.28
1981,4,1,1,560.38
2176,3,1,0,561.82
2076,4,2,28,449.09
2334,4,1,26,481.92
2131,5,2,17,479.94
2299,3,1,3,544.06
1693,4,1,23,382.69
1005,2,2,9,295.25
2688,3,3,12,561.36
2729,3,1,34,472.06
1443,3,2,6,445.01
